10:10:81:ad:c4:92,24:d3:f2:a7:b3:cd,44:fb:5a:d2:d0:61,f4:e3:fb:90:3a:a8,9c:d6:43:cb:23:c0,b0:89:00:74:7c:84,b4:74:9f:ba:83:34,30:99:35:90:32:9f,d8:0d:17:db:be:92,indoor,roomNum
//Mobile Tawfik
-100,-72,-100,,-60,-68,-53,-80,-96,1,1
-100,-100,-100,,-55,-69,-47,-100,-100,1,1
-100,-68,-100,,-63,-77,-56,-81,-100,1,1
-100,-64,-100,,-61,-77,-62,-73,-100,1,1
-100,-100,-100,,-51,-57,-39,-79,-96,1,1
-100,-51,-100,,-82,-87,-80,-58,-100,1,1
-100,-46,-100,,-100,-86,-81,-71,-100,1,1
-100,-63,-100,,-91,-75,-77,-74,-76,1,1
-100,-52,-100,,-62,-70,-50,-79,-88,1,1
-100,-73,-100,,-55,-63,-53,-79,-95,1,1
-100,-44,-100,,-74,-63,-57,-79,-90,1,1
-100,-56,-100,,-79,-78,-79,-84,-97,1,1
-100,-100,-100,,-100,-85,-85,-66,-92,1,1
-100,-61,-100,,-83,-63,-61,-84,-96,1,1
-100,-59,-100,,-66,-100,-49,-84,-91,1,1
-100,-35,-100,,-89,-82,-72,-71,-90,1,1
-100,-100,-100,,-57,-65,-56,-74,-100,1,1
-100,-68,-100,,-62,-70,-54,-100,-100,1,1
-100,-72,-100,,-59,-68,-58,-65,-100,1,1
-100,-75,-100,,-100,-89,-68,-68,-100,1,1
-100,-70,-100,,-68,-73,-60,-69,-100,1,1
-100,-70,-100,,-68,-73,-60,-69,-100,1,1
-100,-81,-100,,-59,-76,-58,-100,-100,1,1
-100,-75,-100,,-56,-64,-47,-100,-100,1,1
-100,-73,-100,,-64,-72,-60,-83,-97,1,1
-100,-57,-100,,-66,-71,-58,-71,-100,1,1
-100,-57,-100,,-75,-67,-63,-80,-100,1,1
-100,-64,-100,,-62,-70,-59,-73,-100,1,1
-100,-64,-100,,-62,-70,-59,-73,-100,1,1
-100,-73,-100,,-62,-76,-59,-79,-100,1,1
-100,-73,-100,,-62,-76,-59,-79,-100,1,1
-100,-75,-100,,-70,-68,-58,-100,-100,1,1
-100,-100,-100,,-55,-61,-51,-76,-100,1,1
-100,-100,-100,,-57,-55,-41,-76,-92,1,1
-100,-64,-100,,-63,-70,-36,-100,-100,1,1
-100,-73,-100,,-61,-68,-37,-77,-100,1,1
-100,-100,-100,,-62,-67,-50,-77,-100,1,1
-100,-49,-100,-100,-80,-78,-76,-80,-100,1,1
-100,-54,-100,-100,-87,-88,-77,-60,-100,1,1
-100,-57,-100,-100,-81,-89,-81,-58,-100,1,1
-100,-63,-100,-100,-100,-100,-100,-72,-100,1,1
-100,-53,-100,-100,-100,-88,-83,-58,-100,1,1
-100,-53,-100,-100,-100,-88,-83,-58,-100,1,1
-100,-61,-100,-100,-84,-92,-79,-72,-100,1,1
-100,-55,-100,-100,-100,-82,-85,-71,-96,1,1
-100,-36,-100,-100,-82,-80,-78,-72,-100,1,1
